Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Afghanistan,5.2,1979652,2,1.1
Albania,57,1618111,32,25
Algeria,23,9989662,14,9.7
Angola,7.8,2469333,4.7,3
Argentina,106,47543513,64,42
Armenia,11,335721,7.3,4.1
Aruba,145,153936,76,69
Australia,92,23362740,57,35
Austria,120,10669251,63,60
Azerbaijan,77,7745851,45,32
Bahamas,44,173130,27,17
Bahrain,154,2530475,71,67
Bangladesh,22,35483633,13,8.7
Barbados,76,219138,43,34
Belarus,33,3085256,18,15
Belgium,143,16414814,74,72
Belize,67,261183,45,21
Benin,1.5,174074,1.3,0.4
Bhutan,137,1045228,74,63
Bolivia,55,6323595,36,26
Bosnia and Herzegovina,32,1060145,19,13
Botswana,26,587595,16,9.6
Brazil,102,214665906,68,36
Brunei,89,385602,55,34
Bulgaria,35,2437295,,18
Burkina Faso,0.8,166160,0.8,0.5
Cambodia,128,21148891,70,60
Cameroon,1.7,444521,1.4,0.3
Canada,145,54674348,76,70
Cape Verde,67,368789,50,17
Central African Republic,2.4,112492,2.2,0.2
Chad,0.7,104707,0.5,0.1
Chile,161,30515177,77,74
Colombia,75,37627506,49,31
Comoros,39,334369,21,19
Congo,0.1,120062,0.1,0.1
Costa Rica,97,4872085,62,34
Croatia,82,3341864,43,41
Cuba,147,16696685,63,38
Curaçao,118,185129,62,56
Cyprus,94,1126551,49,45
Czech Republic,109,11674348,56,55
Denmark,150,8703120,76,74
Djibouti,6.8,66010,4.1,2.7
Dominican Republic,107,11521256,55,45
Ecuador,117,20320001,62,55
Egypt,12,11989196,7.7,4.2
El Salvador,109,7010709,60,49
Equatorial Guinea,27,370163,16,12
Estonia,99,1318468,56,43
Eswatini,18,210277,16,15
Ethiopia,2.6,2879482,2.1,0.5
Fiji,102,912149,64,38
Finland,132,7265794,74,58
France,137,91962598,74,64
French Polynesia,97,271181,53,45
Gabon,6.7,146464,3.9,2.9
Gambia,8.6,201835,7.7,7.1
Georgia,41,1534111,25,17
Germany,126,104949545,67,63
Greece,110,11789457,59,55
Grenada,43,48140,25,18
Guatemala,35,5812857,24,11
Guinea,11,1374371,7.4,3.4
Guinea-Bissau,1.6,31090,1.5,0.2
Guyana,65,512067,43,22
Haiti,0.4,50624,0.3,0.1
Honduras,48,4637151,30,17
Hong Kong,111,8247574,59,52
Iceland,150,542815,78,75
India,56,761350715,42,14
Indonesia,44,118103364,28,16
Iran,42,35047143,28,15
Iraq,15,5739867,9.4,5.2
Ireland,143,7059629,76,72
Israel,161,14600357,67,61
Italy,135,81636330,73,65
Ivory Coast,6.3,1620480,4.6,1.1
Jamaica,24,693827,17,7.2
Japan,118,148775011,65,53
Jordan,67,6745641,36,31
Kazakhstan,71,13142460,39,32
Kenya,6.1,3192099,4.5,1.6
Kiribati,27,31332,21,5.9
Kyrgyzstan,20,1305448,12,8.5
Laos,61,4402770,37,26
Latvia,82,1569970,46,42
Lebanon,39,2668692,22,17
Lesotho,9.5,201795,3.4,1.5
Liberia,2.3,113680,2.1,0.6
Libya,20,1381309,18,2
Lithuania,118,3296750,61,57
Luxembourg,126,779620,67,
Macau,98,621410,53,46
Madagascar,1,283091,0.8,0.3
Mainland China,154,2156938000,78,69
Malawi,5.1,956031,3.9,2.5
Malaysia,124,39483116,68,56
Maldives,135,715975,73,61
Mali,1.9,370529,1.4,0.4
Malta,161,807825,83,83
Mauritania,7.4,333089,6.9,0.5
Mauritius,128,1625865,67,62
Mexico,73,93588719,48,32
Moldova,51,1346799,,28
Mongolia,135,4366169,70,66
Montenegro,68,423768,36,32
Morocco,99,36271200,55,45
Mozambique,11,3427486,6.1,5.1
Myanmar,12,6253687,8.2,3.3
Namibia,15,374178,9.3,5.7
Nepal,40,11419446,21,19
Netherlands,128,22153083,70,63
New Caledonia,61,176813,35,26
New Zealand,92,4507944,61,31
Nicaragua,11,735252,7.3,4
Niger,2.7,621853,1.7,0.4
Nigeria,2.8,5712019,2,0.8
North Macedonia,68,1411735,37,31
Norway,140,7480218,75,65
Oman,81,4036350,52,29
Pakistan,33,70402987,24,11
Panama,117,4964341,68,49
Papua New Guinea,1.8,154710,1.3,0.5
Paraguay,61,4271051,35,26
Peru,65,21084194,38,27
Philippines,37,40030388,,16
Poland,97,36803305,52,50
Portugal,151,15535354,86,81
Qatar,163,4624179,83,78
Republic of the Congo,5.9,319231,3.9,2.1
Romania,51,9890710,28,27
Russia,60,86564229,32,28
Rwanda,23,2882134,14,8.4
Saint Lucia,39,70929,23,16
Saint Vincent and the Grenadines,29,32126,18,11
Samoa,72,142566,49,23
Saudi Arabia,117,40224990,67,50
Senegal,11,1768064,7.4,3.5
Serbia,89,6186509,43,41
Sierra Leone,2.8,221110,2.3,0.5
Singapore,159,9060157,81,79
Slovakia,85,4620120,44,41
Slovenia,96,2005418,51,46
Solomon Islands,15,97744,11,3.5
Somalia,2.2,339599,1.4,0.8
South Africa,26,15447034,19,13
South Korea,106,54766537,68,41
South Sudan,0.6,67109,0.5,0.1
Spain,146,68820573,79,76
Sri Lanka,112,24349601,62,49
Sudan,2.9,1255213,1.5,0.8
Suriname,64,372429,37,27
Sweden,129,13259346,68,60
Switzerland,116,9978623,61,53
Syria,2.4,403254,1.2,1.2
Sao Tome and Principe,27,57154,21,5.6
Taiwan,53,12708428,48,5.2
Tajikistan,37,3446777,23,14
Tanzania,0.6,350000,0.6,0.6
Thailand,60,41647101,40,19
Timor-Leste,48,615462,31,17
Togo,8.1,651941,5.1,2.9
Tonga,65,68404,39,26
Trinidad and Tobago,72,1004094,40,32
Tunisia,59,6911801,39,26
Turkey,124,103526811,63,49
UAE,196,19163754,92,81
UK,139,92650551,73,66
Uganda,3.2,1436264,2.3,0.8
Ukraine,25,11106749,14,11
United States,115,382294795,63,54
Uruguay,172,5959433,78,74
Uzbekistan,48,15978140,29,8.6
Vanuatu,17,50620,13,3.8
Venezuela,39,11094206,24,15
Vietnam,32,31254856,26,6
West Bank & Gaza,36,1673806,25,10
Yemen,1.1,322934,1.1,0.1
Zambia,3.6,649919,2,1.7
Zimbabwe,33,4855816,20,13
